Comments,Label
Practical and easy learning,
"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student.",
"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input. ",
lecturer are punctual and can interact them easily.,
Punctuality is good. Most of the teachers are not interacting with students .,
Good,
lecture delivery is not so good,
"Discipline, punctuality , lecture delivery all are good but hv to do some work for quality of lecture",
"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems",
Perfect,
It is really gud,
Very good teaching and management but too much load on student and working hours,
in terms of lecture delivery that is good.in terms of punctuality that is also good but in terms of intraction that is very bad. There are some teachers they donot interact and do not litsn our problms that means they do not coprate.,
According to me everything is going well in accordance to interaction.More than enough is served. ,
Very good teaching and management but too much load on student and working hours,
not effective and satisfactory in terms of lecture delivery by all the faculty .,
Good,
Good,
Accurate,
It's good,
Good,
it is good depending on the faculty,
"maintained punctuality, good lecture delivery",
average,
average,
well and good infrastructure and have trending software in lab    ,
Good,
Average,
3 hours practical is so long. It should be of 2 hours only ,
Good,
ok ok,
practicle must be of 2 hours,
"It's good 
Also depends on teacher's knowledge and student's interest",
All good,
Average ,
Too much lanlb file work,
Evaluation method is gud.But the content is more to write in file,
excellent,
Its good,
I think electrotherapy practical should be of 2 hours.That's enough I think.Rest is fine.,
excellent,
lab duration of 3 hours is very long . ,
Average,
Good,
Good,
It's good,
It's good,
lab evaluations are pretty good .they help us a lot.,
having good material in labs.,
too much good,
good,
average,
it is difficult to understand experiment in 1 hour,
good,
good,
good,
lab work is also good,
lab work is quite good,
lab activities are good but not satisfactory in explaining point of view.,
helps in improving skills,
lab work is nice.,
practical work including evaluations are good so that students can learn about practicals.,
laboratory provides us a good knowledge about practicals.,
good,
practical work insome labs are not upto the marks,
labs are good but experiments are not very informative,
"it is quite good , depends upon teacher and their experience",
the way of teaching is good but the time more than enough,
good teaching delivery,
"good, teacher is delivery the lecture in the best way they can",
good and qualified teachers but few lacks in interaction with students and fails to describe a topic,
average,
"very good teaching facilities, lecture given are fruitful and teachers are punctual",
interaction is good but not with mostly male lecturers.punctuality is maintained by everyone but lecture delivery not peak quality.,
all things are good,
This is the best in our university because there is no other university which takes seriously for practical work.,
"some time lab is not proper working , some teacher's practical knowledge is less on the other side evaluations is not that much good   ",
Good,
satisfactory,
very poor.no equipments are there,
poor,
very poor.no equipments are there,
lab practicals and evaluations are below average and need lot of changes and improvements,
lab practical work can further be improved so that it can meet industrial standards,
excellent work,
good,
good,
good,
very good,
its hard to find a computer working in lab. Students cannot save data in one single PC,
good,
"Not good, becouse in lab teachers donot teach us how to work on live projects or how to make a live project. So i have ovserved that whatever teachers have been teachig us in lab that will not usefull in our future life.",
not good..the timing is too much for labs and syllabus is also so vast.we don't get propr revision,
All is good. no other university is so serious about the concept of practicals.,
"lecture delivery depends on teacher's knowledge, punctuality is good",
Good,
way of teaching is average,
not so good,
average,
good,
the staff is highly punctual ad interactive and encourage students to participate in the class,
"staff and faculty members are always available for interaction, very punctual and delivery of lecture can be improved",
good delivery,
good,
"our university is good in terms of lecture delivery,interaction and punctuality",
good,
very good,
good,
"interaction satisfied, lecture delivery good,punctuality always on time",
Excellent but it depends upon teacher,
some teachers aren't doing their jobs in very well manner,
Some of the teachers are not well experienced but they are interactive and helpful and punctual.,
not all the teachers are teaching well but it's fine,
EXCELLENT,
"The faculty is good ,interaction between student and teacher is also good",
not good,
Good,
Good,
some of our faculty member are not so experienced that's why most of the time we are facing problems subjects like CSE(c++),
good,
its to good ,
everything is good ,
"everything is good but when coming to some lectures who dont have a good grip on subject,they dont behave well with students and they dont even teach all the concepts in the subject. ",
excellent,
"everything was good regarding to university but, some lecturers don't have grip on the subject and lag in the teaching",
With the help of practicals students are able to understand all the concept.so it is also good.,
LAB IS VERY GOOD,
good,
not good...... must be improve,
Lab evaluations are good.,
it was good but it can be improved,
"most of the teacher don't even bother about the practical performed by students.They give marks just by seeing face or something like that.
",
good  but marks are not given properly ,
good,
Excellent,
practicals are good but evaluations are not because they don't give enough time to work ,
They are conducted in proper way.,
Teachers are supposed to let the students know the actual use of the instruments used in the lab.,
excellent ...they  work hard..their way of teaching is also pretty good,
average 3.5/5,
good,
"In labs,the lecturers has to interact with each student to improve their knowledge, in all the ways,before giving us the work they must explain about the experiment once so that we will come to know how to perform n take precautions while doing,........
",
Good,
ok,
its fine.,
good,
More number of lab/practicals should be there to enhance practical knowledge.,
Here we r able to do every thing by our own with u r valuable support ,
The examination pattern is good .But time is not sufficient for those questions.,
MCQ pattern is quite good and efficient way for evolving students.,
all labs and practical going on well,
not bad,
Labs are upto the mark.,
Our labs do not have all facalities. ,
ALL PRACTICAL WORK IS GOOD,
